Farm,Year,Mgmt,Field,MF,Plot,Subsample,Depth Fraction,Core_Length,Lab,Tot_Wt,Plant_Wt,Rock_Wt,BD_pre,BD
WNF,2016,H,3,H3,B,1,50,20,WNF-H-3-B-1-50,3.07,0,0,1.89,1.89
WNF,2016,H,3,H3,B,4,50,20,WNF-H-3-B-4-50,3.1,0,0,1.91,1.91
WNF,2016,H,3,H3,B,5,50,20,WNF-H-3-B-5-50,3.1,0,0,1.91,1.91
WNF,2016,G,2,G2,B,5,50,20,WNF-G-2-B-5-50,3.13,0,24.07,1.92,1.92
WNF,2016,H,4,H4,A,3,50,20,WNF-H-4-A-3-50,3.11,0,0,1.92,1.92
ORG,2016,H,3,H3,B,5,50,10,ORG-H-3-B-5-50,1.6,0,41.11,1.923793258,1.92
WNF,2016,H,4,H4,C,5,50,20,WNF-H-4-C-5-50,3.12,0,1.16,1.92,1.92
WNF,2016,H,3,H3,A,2,50,20,WNF-H-3-A-2-50,3.12,0,0,1.93,1.93
WNF,2016,H,3,H3,B,2,50,20,WNF-H-3-B-2-50,3.14,0,0,1.94,1.94
WNF,2016,G,2,G2,B,2,50,20,WNF-G-2-B-2-50,3.15,0,0,1.94,1.94
WNF,2016,H,3,H3,B,3,50,20,WNF-H-3-B-3-50,3.15,0,0,1.94,1.94
WNF,2016,G,1,G1,B,3,50,20,WNF-G-1-B-3-50,3.16,0,0,1.95,1.95
WNF,2016,G,1,G1,C,1,50,20,WNF-G-1-C-1-50,3.16,0,0,1.95,1.95
WNF,2016,G,1,G1,B,1,50,20,WNF-G-1-B-1-50,3.17,0,0,1.96,1.96
WNF,2016,G,1,G1,C,5,50,20,WNF-G-1-C-5-50,3.17,0,0,1.96,1.96
WNF,2016,G,2,G2,C,1,50,20,WNF-G-2-C-1-50,3.18,0,4.08,1.96,1.96
WNF,2016,H,4,H4,C,4,50,20,WNF-H-4-C-4-50,3.21,0,12.06,1.97,1.97
WNF,2016,G,1,G1,C,4,50,20,WNF-G-1-C-4-50,3.2,0.5,0,1.97,1.97
ORG,2016,G,2,G2,B,1,50,10,ORG-G-2-B-1-50,2.04,0,438.3,1.976624176,1.98
WNF,2016,H,3,H3,C,3,50,20,WNF-H-3-C-3-50,3.22,0,12.45,1.98,1.98
WNF,2016,G,1,G1,B,2,50,20,WNF-G-1-B-2-50,3.21,0,0,1.98,1.98
WNF,2016,G,1,G1,B,4,50,20,WNF-G-1-B-4-50,3.21,0,0,1.98,1.98
WNF,2016,G,1,G1,C,2,50,20,WNF-G-1-C-2-50,3.22,0,0,1.99,1.99
WNF,2016,H,4,H4,B,2,50,20,WNF-H-4-B-2-50,3.22,0,0,1.99,1.99
ORG,2016,H,3,H3,A,5,50,10,ORG-H-3-A-5-50,2.01,0,394.27,1.993938303,1.99
WNF,2016,G,2,G2,C,5,50,20,WNF-G-2-C-5-50,3.24,0,0,2,2
WNF,2016,H,4,H4,A,1,50,20,WNF-H-4-A-1-50,3.24,0,0,2,2
WNF,2016,H,4,H4,B,1,50,20,WNF-H-4-B-1-50,3.25,0,1.16,2,2
WNF,2016,G,1,G1,B,5,50,20,WNF-G-1-B-5-50,3.26,0,0,2.01,2.01
WNF,2016,H,3,H3,C,4,50,20,WNF-H-3-C-4-50,3.29,0,3.54,2.03,2.03
WNF,2016,G,2,G2,C,2,50,20,WNF-G-2-C-2-50,3.29,0,1.04,2.03,2.03
WNF,2016,G,2,G2,A,4,50,20,WNF-G-2-A-4-50,3.3,0,0,2.04,2.04
WNF,2016,H,3,H3,A,1,50,20,WNF-H-3-A-1-50,3.31,0,0,2.04,2.04
WNF,2016,G,2,G2,C,4,50,20,WNF-G-2-C-4-50,3.32,0,0,2.05,2.05
WNF,2016,H,4,H4,B,3,50,20,WNF-H-4-B-3-50,3.32,0,0,2.05,2.05
WNF,2016,G,2,G2,B,4,50,20,WNF-G-2-B-4-50,3.33,0,1.38,2.05,2.05
WNF,2016,G,2,G2,B,3,50,20,WNF-G-2-B-3-50,3.33,0,0,2.05,2.05
WNF,2016,G,2,G2,C,3,50,20,WNF-G-2-C-3-50,3.34,0,0,2.06,2.06
WNF,2016,H,4,H4,B,4,50,20,WNF-H-4-B-4-50,3.35,0,0,2.07,2.07
WNF,2016,H,4,H4,B,5,50,20,WNF-H-4-B-5-50,3.36,0,0,2.07,2.07
WNF,2016,H,3,H3,C,5,50,20,WNF-H-3-C-5-50,3.37,0,5.17,2.08,2.08
WNF,2016,G,2,G2,A,3,50,20,WNF-G-2-A-3-50,3.43,0,0,2.12,2.12
FRF,2016,G,2,G2,A,1,50,6,FRF-G-2-A-1-50,1.18,0,119.62,2.18,2.18
WNF,2016,G,2,G2,A,5,50,20,WNF-G-2-A-5-50,3.56,0,0,2.2,2.2
