Farm,Year,Mgmt,Field,MF,Plot,Subsample,Depth Fraction,Core_Length,Lab,Tot_Wt,Plant_Wt,Rock_Wt,BD_pre,BD
ORG,2016,G,2,G2,A,5,15,15,ORG-G-2-A-5-15,1.47,18.7,114.31,1.099967433,1.1
ORG,2016,H,3,H3,A,1,15,15,ORG-H-3-A-1-15,1.73,237,150.37,1.10460757,1.1
ORG,2016,G,2,G2,B,1,15,15,ORG-G-2-B-1-15,1.49,41.03,102.14,1.108062991,1.11
FRF,2016,G,2,G2,B,3,15,15,FRF-G-2-B-3-15,1.46,47.55,63.04,1.11,1.11
FRF,2016,H,3,H3,C,3,15,15,FRF-H-3-C-3-15,1.42,55.99,12.71,1.11,1.11
ORG,2016,G,2,G2,A,1,15,15,ORG-G-2-A-1-15,1.62,213.53,48.33,1.117367946,1.12
WNF,2016,G,1,G1,A,3,15,15,WNF-G-1-A-3-15,1.56,128.46,72.64,1.12,1.12
FRF,2016,H,3,H3,A,1,15,15,FRF-H-3-A-1-15,1.41,46.33,4.11,1.12,1.12
FRF,2016,H,3,H3,A,4,15,15,FRF-H-3-A-4-15,1.41,46.11,0,1.12,1.12
ORG,2016,H,4,H4,A,2,15,15,ORG-H-4-A-2-15,1.53,38.25,120.37,1.128260749,1.13
ORG,2016,H,4,H4,B,5,15,15,ORG-H-4-B-5-15,1.63,52.14,205.5,1.129067014,1.13
WNF,2016,H,4,H4,B,2,15,15,WNF-H-4-B-2-15,1.57,188.8,0,1.14,1.14
ORG,2016,H,3,H3,C,2,15,15,ORG-H-3-C-2-15,1.49,39.4,69.37,1.136364534,1.14
FRF,2016,G,2,G2,A,4,15,15,FRF-G-2-A-4-15,1.52,61.29,65.95,1.15,1.15
ORG,2016,G,2,G2,C,4,15,15,ORG-G-2-C-4-15,1.56,85.19,77.39,1.149684359,1.15
ORG,2016,H,4,H4,C,5,15,15,ORG-H-4-C-5-15,1.51,31.83,74.02,1.155221259,1.16
ORG,2016,G,2,G2,C,1,15,15,ORG-G-2-C-1-15,1.47,38.19,23.24,1.158857679,1.16
ORG,2016,H,4,H4,B,1,15,15,ORG-H-4-B-1-15,1.5,41.94,48.98,1.159277265,1.16
ORG,2016,H,3,H3,B,1,15,15,ORG-H-3-B-1-15,1.57,0,159.63,1.160338573,1.16
ORG,2016,G,2,G2,C,5,15,15,ORG-G-2-C-5-15,1.58,98.34,66.66,1.164147764,1.16
WNF,2016,H,3,H3,A,5,15,15,WNF-H-3-A-5-15,1.58,164.85,0,1.16,1.16
ORG,2016,H,3,H3,C,5,15,15,ORG-H-3-C-5-15,1.54,111.65,10.9,1.166163426,1.17
ORG,2016,H,4,H4,A,5,15,15,ORG-H-4-A-5-15,1.68,247.18,10.44,1.170219432,1.17
FRF,2016,G,2,G2,B,2,15,15,FRF-G-2-B-2-15,1.47,1.53,44.97,1.17,1.17
ORG,2016,H,3,H3,C,1,15,15,ORG-H-3-C-1-15,1.55,59.01,62.2,1.175493062,1.18
FRF,2016,G,2,G2,C,4,15,15,FRF-G-2-C-4-15,1.57,70.7,44.69,1.2,1.2
ORG,2016,G,2,G2,C,3,15,15,ORG-G-2-C-3-15,1.63,17.06,136.92,1.214350093,1.21
WNF,2016,G,1,G1,B,2,15,15,WNF-G-1-B-2-15,1.66,175.67,4.32,1.22,1.22
ORG,2016,H,4,H4,C,4,15,15,ORG-H-4-C-4-15,1.6,49.25,51.5,1.233461862,1.23
FRF,2016,H,3,H3,B,5,15,15,FRF-H-3-B-5-15,1.65,55.01,75.2,1.25,1.25
ORG,2016,H,4,H4,B,3,15,15,ORG-H-4-B-3-15,1.76,34.95,68.58,1.362809785,1.36
ORG,2016,H,4,H4,A,1,15,15,ORG-H-4-A-1-15,1.84,61.58,60.52,1.41334943,1.41
WNF,2016,G,1,G1,A,3,30,14,WNF-G-1-A-3-29,1.71,3.91,297.66,1.24,1.24
ORG,2016,G,2,G2,A,2,30,15,ORG-G-2-A-2-30,0.6,0,119.89,0.394995748,0.39
FRF,2016,H,3,H3,B,2,30,15,FRF-H-3-B-2-30,2.13,0,1524.83,0.5,0.5
ORG,2016,G,1,G1,B,5,30,15,ORG-G-1-B-5-30,1.45,175.37,322.48,0.783352151,0.78
ORG,2016,H,4,H4,A,4,30,15,ORG-H-4-A-4-30,1.12,0,165.61,0.785195042,0.79
ORG,2016,H,4,H4,A,1,30,15,ORG-H-4-A-1-30,1.15,5.49,153.49,0.815331248,0.82
FRF,2016,G,2,G2,B,5,30,15,FRF-G-2-B-5-30,1.25,0,218.67,0.85,0.85
ORG,2016,G,1,G1,A,4,30,9,ORG-G-1-A-4-30,1.05,7.34,349.39,0.950610978,0.95
FRF,2016,H,4,H4,B,1,30,5,FRF-H-4-B-1-30,0.47,0,69.52,0.99,0.99
ORG,2016,G,1,G1,A,3,30,15,ORG-G-1-A-3-30,1.65,0,415,1.016058295,1.02
ORG,2016,H,4,H4,C,5,30,15,ORG-H-4-C-5-30,1.37,0,94.08,1.049723968,1.05
ORG,2016,G,1,G1,B,4,30,15,ORG-G-1-B-4-30,1.67,0,393,1.050612505,1.05
