"Farm","Field","Trt","Rep","Date.Sampled","Date.Processed","totdry","totdry_2","kgha","kgcha"
"FRF",3,"Hay","C","6/1/2017","7/5/2017",32.08,32.08,32080,14436
"FRF",3,"Hay","C","6/8/2017","7/5/2017",4.4,4.4,4400,1980
"FRF",3,"Hay","C","6/13/2017","7/5/2017",6.91,6.91,6910,3109.5
"FRF",3,"Hay","C","6/23/2017","7/5/2017",6.01,6.01,6010,2704.5
"FRF",3,"Hay","C","6/27/2017","7/5/2017",7.03,7.03,7030,3163.5
"FRF",3,"Hay","C","7/6/2017","1/8/2018",7.84,7.84,7840,3528
"FRF",3,"Hay","C","7/11/2017","1/8/2018",2.3,2.3,2300,1035
"FRF",3,"Hay","C","7/20/2017","1/8/2018",4.04,4.04,4040,1818
"FRF",3,"Hay","C","7/26/2017","1/8/2018",2.7,2.7,2700,1215
"FRF",3,"Hay","C","8/1/2017","1/8/2018",7.1,7.1,7100,3195
"FRF",3,"Hay","C","8/9/2017","1/8/2018",2.43,2.43,2430,1093.5
"FRF",3,"Hay","C","8/17/2017","1/8/2018",2.45,2.45,2450,1102.5
"FRF",3,"Hay","C","8/23/2017","1/9/2018",2.12,2.12,2120,954
"FRF",3,"Hay","C","9/7/2017","1/9/2018",2.71,2.71,2710,1219.5
"FRF",3,"Hay","C","9/13/2017","1/9/2018",2.2,2.2,2200,990
"FRF",3,"Hay","C","9/21/2017","1/9/2018",NA,4.4,4400,1980
"FRF",3,"Hay","C","10/6/2017","1/9/2018",6.6,6.6,6600,2970
"FRF",3,"Hay","C","10/13/2017","1/9/2018",2.95,2.95,2950,1327.5
"FRF",4,"Hay","A","5/25/2017","8/10/2017",13.04,13.04,13040,5868
"FRF",4,"Hay","A","6/1/2017","7/5/2017",23.15,23.15,23150,10417.5
"FRF",4,"Hay","A","6/8/2017","7/5/2017",4.11,4.11,4110,1849.5
"FRF",4,"Hay","A","6/13/2017","7/5/2017",13.63,13.63,13630,6133.5
"FRF",4,"Hay","A","6/23/2017","7/5/2017",5.27,5.27,5270,2371.5
"FRF",4,"Hay","A","6/27/2017","7/5/2017",8.15,8.15,8150,3667.5
"FRF",4,"Hay","A","7/6/2017","1/8/2018",17.68,17.68,17680,7956
"FRF",4,"Hay","A","7/11/2017","1/8/2018",6.79,6.79,6790,3055.5
"FRF",4,"Hay","A","7/20/2017","1/8/2018",10.72,10.72,10720,4824
"FRF",4,"Hay","A","7/26/2017","1/8/2018",3.5,3.5,3500,1575
"FRF",4,"Hay","A","8/1/2017","1/8/2018",11.31,11.31,11310,5089.5
"FRF",4,"Hay","A","8/9/2017","1/8/2018",3.2,3.2,3200,1440
"FRF",4,"Hay","A","8/17/2017","1/8/2018",5.51,5.51,5510,2479.5
"FRF",4,"Hay","A","8/23/2017","1/9/2018",7.3,7.3,7300,3285
"FRF",4,"Hay","A","9/7/2017","1/9/2018",7.16,7.16,7160,3222
"FRF",4,"Hay","A","9/13/2017","1/9/2018",1.68,1.68,1680,756
"FRF",4,"Hay","A","9/21/2017","1/9/2018",NA,3.555,3555,1599.75
"FRF",4,"Hay","A","10/6/2017","1/9/2018",5.43,5.43,5430,2443.5
"FRF",4,"Hay","A","10/13/2017","1/9/2018",2.79,2.79,2790,1255.5
"FRF",4,"Hay","B","5/25/2017","8/10/2017",16.67,16.67,16670,7501.5
"FRF",4,"Hay","B","6/1/2017","7/5/2017",14.01,14.01,14010,6304.5
"FRF",4,"Hay","B","6/8/2017","7/5/2017",2.12,2.12,2120,954
"FRF",4,"Hay","B","6/13/2017","7/5/2017",4.46,4.46,4460,2007
"FRF",4,"Hay","B","6/23/2017","7/5/2017",8.81,8.81,8810,3964.5
"FRF",4,"Hay","B","6/27/2017","1/8/2018",6.61,6.61,6610,2974.5
"FRF",4,"Hay","B","7/6/2017","1/8/2018",7.54,7.54,7540,3393
"FRF",4,"Hay","B","7/11/2017","1/8/2018",7.13,7.13,7130,3208.5
"FRF",4,"Hay","B","7/20/2017","1/8/2018",6.9,6.9,6900,3105
"FRF",4,"Hay","B","7/26/2017","1/8/2018",1.76,1.76,1760,792
"FRF",4,"Hay","B","8/1/2017","1/8/2018",2.23,2.23,2230,1003.5
"FRF",4,"Hay","B","8/9/2017","1/8/2018",NA,2.865,2865,1289.25
"FRF",4,"Hay","B","8/17/2017","1/8/2018",3.5,3.5,3500,1575
"FRF",4,"Hay","B","8/23/2017","1/9/2018",7.51,7.51,7510,3379.5
"FRF",4,"Hay","B","9/7/2017","1/9/2018",5.74,5.74,5740,2583
"FRF",4,"Hay","B","9/13/2017","1/9/2018",1.84,1.84,1840,828
"FRF",4,"Hay","B","9/21/2017","1/9/2018",NA,4.34,4340,1953
"FRF",4,"Hay","B","10/6/2017","1/9/2018",6.84,6.84,6840,3078
"FRF",4,"Hay","B","10/13/2017","1/9/2018",4.14,4.14,4140,1863
"FRF",4,"Hay","C","5/25/2017","8/10/2017",6.52,6.52,6520,2934
"FRF",4,"Hay","C","6/1/2017","7/5/2017",12.04,12.04,12040,5418
"FRF",4,"Hay","C","6/8/2017","7/5/2017",5.88,5.88,5880,2646
"FRF",4,"Hay","C","6/13/2017","7/5/2017",10.55,10.55,10550,4747.5
"FRF",4,"Hay","C","6/23/2017","7/5/2017",5.81,5.81,5810,2614.5
"FRF",4,"Hay","C","6/27/2017","1/8/2018",8.15,8.15,8150,3667.5
"FRF",4,"Hay","C","7/6/2017","1/8/2018",8.73,8.73,8730,3928.5
"FRF",4,"Hay","C","7/11/2017","1/8/2018",9.85,9.85,9850,4432.5
"FRF",4,"Hay","C","7/20/2017","1/8/2018",6.74,6.74,6740,3033
"FRF",4,"Hay","C","7/26/2017","1/8/2018",5.06,5.06,5060,2277
"FRF",4,"Hay","C","8/1/2017","1/8/2018",6.45,6.45,6450,2902.5
"FRF",4,"Hay","C","8/9/2017","1/8/2018",6.23,6.23,6230,2803.5
"FRF",4,"Hay","C","8/17/2017","1/8/2018",2.44,2.44,2440,1098
"FRF",4,"Hay","C","8/23/2017","1/9/2018",8.48,8.48,8480,3816
"FRF",4,"Hay","C","9/7/2017","1/9/2018",10.97,10.97,10970,4936.5
"FRF",4,"Hay","C","9/13/2017","1/9/2018",2.2,2.2,2200,990
"FRF",4,"Hay","C","9/21/2017","1/9/2018",NA,3.02,3020,1359
"FRF",4,"Hay","C","10/6/2017","1/9/2018",3.84,3.84,3840,1728
"FRF",4,"Hay","C","10/13/2017","1/9/2018",2.66,2.66,2660,1197
"ORG",1,"Graze","A","6/13/2017","6/21/2017",1.66,1.66,1660,747
"ORG",1,"Graze","A","6/20/2017","6/21/2017",2.65,2.65,2650,1192.5
"ORG",1,"Graze","A","6/29/2017","",NA,3.105,3105,1397.25
"ORG",1,"Graze","A","7/11/2017","7/13/2017",3.56,3.56,3560,1602
"ORG",1,"Graze","A","7/18/2017","8/15/2017",2.38,2.38,2380,1071
"ORG",1,"Graze","A","7/25/2017","8/2/2017",2.23,2.23,2230,1003.5
"ORG",1,"Graze","A","8/1/2017","8/2/2017",NA,1.29,1290,580.5
"ORG",1,"Graze","A","8/10/2017","8/14/2017",0.35,0.35,350,157.5
"ORG",1,"Graze","A","8/16/2017","8/18/2017",0.72,0.72,720,324
"ORG",1,"Graze","A","8/22/2017","8/29/2017",0.45,0.45,450,202.5
"ORG",1,"Graze","A","9/1/2017","9/5/2017",1.01,1.01,1010,454.5
"ORG",1,"Graze","A","9/8/2017","9/14/2017",1.06,1.06,1060,477
"ORG",1,"Graze","A","9/15/2017","9/18/2017",1.13,1.13,1130,508.5
"ORG",1,"Graze","A","9/22/2017","9/26/2017",0.86,0.86,860,387
"ORG",1,"Graze","A","9/29/2017","10/3/2017",0.52,0.52,520,234
"ORG",1,"Graze","A","10/13/2017","10/25/2017",1.13,1.13,1130,508.5
"ORG",1,"Graze","A","10/20/2017","10/25/2017",1.08,1.08,1080,486
"ORG",1,"Graze","A","10/24/2017","10/25/2017",2.61,2.61,2610,1174.5
"ORG",1,"Graze","B","6/13/2017","6/21/2017",6.72,6.72,6720,3024
"ORG",1,"Graze","B","6/20/2017","6/21/2017",5.4,5.4,5400,2430
"ORG",1,"Graze","B","6/29/2017","",NA,3.555,3555,1599.75
"ORG",1,"Graze","B","7/11/2017","7/13/2017",1.71,1.71,1710,769.5
"ORG",1,"Graze","B","7/18/2017","8/15/2017",2.6,2.6,2600,1170
"ORG",1,"Graze","B","7/25/2017","8/2/2017",1.91,1.91,1910,859.5
"ORG",1,"Graze","B","8/1/2017","8/2/2017",4.3,4.3,4300,1935
"ORG",1,"Graze","B","8/10/2017","8/14/2017",1.72,1.72,1720,774
"ORG",1,"Graze","B","8/16/2017","8/18/2017",7.12,7.12,7120,3204
"ORG",1,"Graze","B","8/22/2017","8/29/2017",2.13,2.13,2130,958.5
"ORG",1,"Graze","B","9/1/2017","9/5/2017",1.26,1.26,1260,567
"ORG",1,"Graze","B","9/8/2017","9/14/2017",0.73,0.73,730,328.5
"ORG",1,"Graze","B","9/15/2017","9/18/2017",5.96,5.96,5960,2682
"ORG",1,"Graze","B","9/22/2017","9/26/2017",7.72,7.72,7720,3474
"ORG",1,"Graze","B","9/29/2017","10/3/2017",2.74,2.74,2740,1233
"ORG",1,"Graze","B","10/13/2017","10/25/2017",3.27,3.27,3270,1471.5
"ORG",1,"Graze","B","10/20/2017","10/25/2017",3.39,3.39,3390,1525.5
"ORG",1,"Graze","B","10/24/2017","10/25/2017",3.48,3.48,3480,1566
"ORG",1,"Graze","C","6/13/2017","6/21/2017",8.46,8.46,8460,3807
"ORG",1,"Graze","C","6/20/2017","6/21/2017",4.76,4.76,4760,2142
"ORG",1,"Graze","C","6/29/2017","",NA,3.455,3455,1554.75
"ORG",1,"Graze","C","7/11/2017","7/13/2017",2.15,2.15,2150,967.5
"ORG",1,"Graze","C","7/18/2017","8/15/2017",2.77,2.77,2770,1246.5
"ORG",1,"Graze","C","7/25/2017","8/2/2017",3.31,3.31,3310,1489.5
"ORG",1,"Graze","C","8/1/2017","8/2/2017",NA,2.115,2115,951.75
"ORG",1,"Graze","C","8/10/2017","8/14/2017",0.92,0.92,920,414
"ORG",1,"Graze","C","8/16/2017","8/18/2017",6.2,6.2,6200,2790
"ORG",1,"Graze","C","8/22/2017","8/29/2017",1.8,1.8,1800,810
"ORG",1,"Graze","C","9/1/2017","9/5/2017",2.78,2.78,2780,1251
"ORG",1,"Graze","C","9/8/2017","9/14/2017",1.52,1.52,1520,684
"ORG",1,"Graze","C","9/15/2017","9/18/2017",1.26,1.26,1260,567
"ORG",1,"Graze","C","9/22/2017","9/26/2017",2.74,2.74,2740,1233
"ORG",1,"Graze","C","9/29/2017","10/3/2017",3.34,3.34,3340,1503
"ORG",1,"Graze","C","10/13/2017","10/25/2017",9.4,9.4,9400,4230
"ORG",1,"Graze","C","10/20/2017","10/25/2017",5.11,5.11,5110,2299.5
"ORG",1,"Graze","C","10/24/2017","10/25/2017",5.53,5.53,5530,2488.5
"ORG",2,"Graze","A","6/13/2017","6/21/2017",2.87,2.87,2870,1291.5
"ORG",2,"Graze","A","6/20/2017","6/21/2017",2.98,2.98,2980,1341
"ORG",2,"Graze","A","6/29/2017","",NA,2.26,2260,1017
"ORG",2,"Graze","A","7/11/2017","7/13/2017",1.54,1.54,1540,693
"ORG",2,"Graze","A","7/18/2017","8/15/2017",1.07,1.07,1070,481.5
"ORG",2,"Graze","A","7/25/2017","8/2/2017",4.29,4.29,4290,1930.5
"ORG",2,"Graze","A","8/1/2017","8/2/2017",3.62,3.62,3620,1629
"ORG",2,"Graze","A","8/10/2017","8/14/2017",4.53,4.53,4530,2038.5
"ORG",2,"Graze","A","8/16/2017","8/18/2017",0.84,0.84,840,378
"ORG",2,"Graze","A","8/22/2017","8/29/2017",0.76,0.76,760,342
"ORG",2,"Graze","A","9/1/2017","9/5/2017",0.66,0.66,660,297
"ORG",2,"Graze","A","9/8/2017","9/14/2017",2.67,2.67,2670,1201.5
"ORG",2,"Graze","A","9/15/2017","9/18/2017",1.69,1.69,1690,760.5
"ORG",2,"Graze","A","9/22/2017","9/26/2017",2.39,2.39,2390,1075.5
"ORG",2,"Graze","A","9/29/2017","10/3/2017",NA,2.23,2230,1003.5
"ORG",2,"Graze","A","10/13/2017","10/25/2017",2.07,2.07,2070,931.5
"ORG",2,"Graze","A","10/20/2017","10/25/2017",1.54,1.54,1540,693
"ORG",2,"Graze","A","10/24/2017","10/25/2017",1.82,1.82,1820,819
"ORG",2,"Graze","B","6/13/2017","6/21/2017",5.11,5.11,5110,2299.5
"ORG",2,"Graze","B","6/20/2017","6/21/2017",2.26,2.26,2260,1017
"ORG",2,"Graze","B","6/29/2017","",NA,2.03,2030,913.5
"ORG",2,"Graze","B","7/11/2017","7/13/2017",1.8,1.8,1800,810
"ORG",2,"Graze","B","7/18/2017","8/15/2017",1.66,1.66,1660,747
"ORG",2,"Graze","B","7/25/2017","8/2/2017",4.1,4.1,4100,1845
"ORG",2,"Graze","B","8/1/2017","8/2/2017",3.84,3.84,3840,1728
"ORG",2,"Graze","B","8/10/2017","8/14/2017",3.45,3.45,3450,1552.5
"ORG",2,"Graze","B","8/16/2017","8/18/2017",1.54,1.54,1540,693
"ORG",2,"Graze","B","8/22/2017","8/29/2017",0.81,0.81,810,364.5
"ORG",2,"Graze","B","9/1/2017","9/5/2017",0.68,0.68,680,306
"ORG",2,"Graze","B","9/8/2017","9/14/2017",0.74,0.74,740,333
"ORG",2,"Graze","B","9/15/2017","9/18/2017",1.03,1.03,1030,463.5
"ORG",2,"Graze","B","9/22/2017","9/26/2017",0.76,0.76,760,342
"ORG",2,"Graze","B","9/29/2017","10/3/2017",1.29,1.29,1290,580.5
"ORG",2,"Graze","B","10/13/2017","10/25/2017",4.14,4.14,4140,1863
"ORG",2,"Graze","B","10/20/2017","10/25/2017",0.95,0.95,950,427.5
"ORG",2,"Graze","B","10/24/2017","10/25/2017",2.12,2.12,2120,954
"ORG",2,"Graze","C","6/13/2017","6/21/2017",4.55,4.55,4550,2047.5
"ORG",2,"Graze","C","6/20/2017","6/21/2017",3.98,3.98,3980,1791
"ORG",2,"Graze","C","6/29/2017","",NA,2.785,2785,1253.25
"ORG",2,"Graze","C","7/11/2017","7/13/2017",1.59,1.59,1590,715.5
"ORG",2,"Graze","C","7/18/2017","8/15/2017",0.95,0.95,950,427.5
"ORG",2,"Graze","C","7/25/2017","8/2/2017",5.51,5.51,5510,2479.5
"ORG",2,"Graze","C","8/1/2017","8/2/2017",6.06,6.06,6060,2727
"ORG",2,"Graze","C","8/10/2017","8/14/2017",2.73,2.73,2730,1228.5
"ORG",2,"Graze","C","8/16/2017","8/18/2017",0.7,0.7,700,315
"ORG",2,"Graze","C","8/22/2017","8/29/2017",1.31,1.31,1310,589.5
"ORG",2,"Graze","C","9/1/2017","9/5/2017",0.82,0.82,820,369
"ORG",2,"Graze","C","9/8/2017","9/14/2017",1.45,1.45,1450,652.5
"ORG",2,"Graze","C","9/15/2017","9/18/2017",1.05,1.05,1050,472.5
